,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
11694,Eduardo Najera,najered01,2005,2357,1198,-1.5153080719999998,-1.2886584970000001,-2.803966569,-0.03569938,0.023598243999999997,-0.05929762400000001,-1.675505421,-1.311477457,-2.9869828789999997,0.28072494800000003
11695,Eduardo Najera,najered01,2006,3040,1538,-2.277186869,1.12046323,-1.156723639,1.238293396,1.3731070019999998,-0.134813606,-2.3432137809999998,1.048436339,-1.294777442,-0.179531616
11696,Eduardo Najera,najered01,2007,3580,1754,-0.19586584699999998,-0.008084673,-0.20395052,2.271698998,2.241860342,0.029838656,-0.508441875,0.43331297399999996,-0.075128901,0.075215586
11697,Eduardo Najera,najered01,2008,3656,1742,-0.258616537,1.835900226,1.57728369,3.8581746339999996,3.736673246,0.121501389,-0.285899501,1.6219328880000001,1.336033387,0.249086848
11698,Eduardo Najera,najered01,2009,604,319,-3.87612556,-0.911884688,-4.788010249,-0.336822675,-0.336822675,0.0,-3.61433568,-0.9738279759999999,-4.588163656,1.434944947
11699,Eduardo Najera,najered01,2010,1398,721,-2.840755648,0.274493899,-2.566261749,0.071439545,0.018571382,0.052868162999999996,-2.6352546219999997,0.37630011,-2.258954512,1.576087884
11700,Eduardo Najera,najered01,2011,702,372,-2.870463355,0.011445047,-2.859018308,-0.020876408,-0.020876408,0.0,-2.924733133,-0.095780735,-3.020513867,0.834803875
11701,Eduardo Najera,najered01,2012,518,270,-1.6561691369999998,1.100262426,-0.555906711,0.306992285,0.306992285,0.0,-1.4216573730000002,2.168063986,0.746406613,1.450491439
11702,Larry Nance,nancela01,1982,2765,1314,-1.787555009,1.3500372369999998,-0.437517772,1.5586884019999998,1.191933109,0.366755293,-1.7870043409999998,0.60848836,-1.178515982,0.315566326
11703,Larry Nance,nancela01,1983,6460,3017,0.8734132290000001,2.57257668,3.4459899089999997,9.490375182000001,9.455795456,0.034579726,1.029736453,2.3569029980000002,3.386639452,-0.519688346
11704,Larry Nance,nancela01,1984,7499,3532,1.987063304,1.3775982619999998,3.364661565,11.04351844,8.888007064,2.155511379,2.04111104,1.3569076759999998,3.398018716,-0.41638697399999997
11705,Larry Nance,nancela01,1985,4756,2202,2.153701189,1.9214033240000001,4.075104513,7.635483654,7.635483654,0.0,2.145379708,2.0162374119999997,4.16161712,-0.434664909
