slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
schayda01,Danny Schayes,CENTER,38,ORLANDO MAGIC,74,1272,10.9,0.479,0.0,0.321,8.8,13.7,11.2,6.0,1.5,1.9,12.6,17.5,0.6,1.4,2.0,0.076,-3.6,0.3,-3.3,-0.4,False
schrede01,Detlef Schrempf,SMALL FORWARD,35,SEATTLE SUPERSONICS,78,2742,18.7,0.585,0.164,0.392,6.0,17.9,12.1,20.3,1.2,0.5,13.8,20.6,7.5,2.9,10.4,0.182,3.0,-0.1,2.9,3.4,False
scottde01,Dennis Scott,SMALL FORWARD,29,DALLAS MAVERICKS,52,1797,12.2,0.492,0.41,0.177,2.4,10.0,6.1,12.4,1.3,1.2,11.4,20.6,0.5,0.8,1.3,0.036,-0.2,-1.1,-1.3,0.3,False
scottde01,Dennis Scott,SMALL FORWARD,29,PHOENIX SUNS,29,493,11.9,0.541,0.426,0.074,1.9,9.7,5.9,7.6,1.1,1.0,6.7,16.5,0.6,0.5,1.0,0.101,0.1,-0.7,-0.6,0.2,False
scottsh01,Shawnelle Scott,CENTER,25,CLEVELAND CAVALIERS,41,188,10.6,0.501,0.0,0.5,13.3,25.1,19.3,6.8,1.7,3.2,18.5,13.2,0.1,0.4,0.5,0.132,-4.5,2.0,-2.5,0.0,False
sealssh01,Shea Seals,SHOOTING GUARD,22,LOS ANGELES LAKERS,4,9,4.9,0.205,0.375,0.5,38.7,12.3,25.1,0.0,5.7,0.0,0.0,47.8,-0.1,0.0,-0.1,-0.27,-10.2,-7.2,-17.5,0.0,False
sealyma01,Malik Sealy,SMALL FORWARD,27,DETROIT PISTONS,77,1641,12.8,0.505,0.081,0.36,3.5,12.5,7.9,10.4,2.2,0.9,11.9,18.8,1.2,2.0,3.2,0.093,-1.5,0.9,-0.6,0.6,False
seikaro01,Rony Seikaly,CENTER,32,ORLANDO MAGIC,47,1484,15.8,0.524,0.004,0.567,10.1,18.4,14.2,8.6,0.9,1.9,16.6,24.9,1.0,1.7,2.8,0.09,-0.6,-0.9,-1.5,0.2,False
seikaro01,Rony Seikaly,CENTER,32,NEW JERSEY NETS,9,152,6.8,0.397,0.0,0.659,11.4,16.3,13.7,7.7,1.0,1.9,18.5,18.6,-0.2,0.1,-0.1,-0.019,-5.4,-0.7,-6.1,-0.2,False
shammgo01,God Shammgod,POINT GUARD,21,WASHINGTON WIZARDS,20,146,9.2,0.428,0.034,0.517,1.5,4.0,2.7,38.1,2.5,0.5,22.8,28.1,-0.3,0.1,-0.1,-0.049,-4.5,-1.8,-6.2,-0.2,False
